region_type,region,season_description,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,b_vic,b_yam,h3n2v,a_h5
States,Alabama,Season 2022-23,172,2,17,3,0,0,0,0,0
States,Alaska,Season 2022-23,2696,125,436,203,3,10,0,0,0
States,Arizona,Season 2022-23,1672,227,513,12,6,136,0,0,0
States,Arkansas,Season 2022-23,8219,99,30,97,4,2,0,0,0
States,California,Season 2022-23,10547,448,2593,253,26,56,0,0,0
States,Colorado,Season 2022-23,890,206,448,10,0,101,0,0,0
States,Connecticut,Season 2022-23,883,191,486,25,2,4,0,0,0
States,Delaware,Season 2022-23,737,100,109,23,0,11,0,0,0
States,District of Columbia,Season 2022-23,1729,77,292,17,1,19,0,0,0
States,Florida,Season 2022-23,2562,333,808,16,2,132,0,0,0
States,Georgia,Season 2022-23,3227,456,1034,206,3,155,0,0,0
States,Hawaii,Season 2022-23,896,93,270,16,14,44,0,0,0
States,Idaho,Season 2022-23,7915,401,1032,57,2,5,0,0,0
States,Illinois,Season 2022-23,54058,163,384,337,1,3,0,0,0
States,Indiana,Season 2022-23,864,17,24,3,0,4,0,0,0
States,Iowa,Season 2022-23,527,105,212,9,4,115,0,0,0
States,Kansas,Season 2022-23,1289,24,71,65,2,4,0,0,0
States,Kentucky,Season 2022-23,509,61,41,0,0,2,0,0,0
States,Louisiana,Season 2022-23,1619,27,13,1,5,5,0,0,0
States,Maine,Season 2022-23,279,7,2,0,1,1,0,0,0
States,Maryland,Season 2022-23,763,3,116,9,0,2,0,0,0
States,Massachusetts,Season 2022-23,861,101,327,2,2,1,0,0,0
States,Michigan,Season 2022-23,2088,293,495,7,6,68,0,1,0
States,Minnesota,Season 2022-23,2085,123,880,56,1,24,0,0,0
States,Mississippi,Season 2022-23,205,41,40,0,0,6,0,0,0
States,Missouri,Season 2022-23,1763,133,222,20,0,4,0,0,0
States,Montana,Season 2022-23,474,130,185,6,0,7,0,0,0
States,Nebraska,Season 2022-23,3132,35,82,196,7,6,0,0,0
States,Nevada,Season 2022-23,24186,67,120,259,5,7,0,0,0
States,New Hampshire,Season 2022-23,4146,25,29,6,1,4,0,0,0
States,New Jersey,Season 2022-23,1126,39,109,9,15,1,0,0,0
States,New Mexico,Season 2022-23,3090,343,654,60,3,27,0,1,0
States,New York,Season 2022-23,25846,105,442,461,44,9,0,0,0
States,North Carolina,Season 2022-23,987,88,250,8,0,10,0,0,0
States,North Dakota,Season 2022-23,467,82,174,1,0,1,0,0,0
States,Ohio,Season 2022-23,3448,752,381,4,0,26,0,0,0
States,Oklahoma,Season 2022-23,929,24,32,1,0,2,0,0,0
States,Oregon,Season 2022-23,16443,381,881,36,1,1,0,0,0
States,Pennsylvania,Season 2022-23,53220,232,352,43,0,35,0,0,0
States,Rhode Island,Season 2022-23,14622,59,171,1383,2,33,0,0,0
States,South Carolina,Season 2022-23,789,69,97,60,1,2,0,0,0
States,South Dakota,Season 2022-23,499,164,98,15,1,12,0,0,0
States,Tennessee,Season 2022-23,646,130,123,13,1,4,0,0,0
States,Texas,Season 2022-23,4082,193,263,11,56,8,0,0,0
States,Utah,Season 2022-23,1119,190,321,0,0,35,0,0,0
States,Vermont,Season 2022-23,163,15,82,2,0,0,0,0,0
States,Virginia,Season 2022-23,1461,41,118,16,0,1,0,0,0
States,Washington,Season 2022-23,9710,292,596,155,4,30,0,0,0
States,West Virginia,Season 2022-23,619,221,253,11,0,15,0,0,0
States,Wisconsin,Season 2022-23,2443,165,567,42,4,15,0,0,0
States,Wyoming,Season 2022-23,2905,59,123,188,11,4,0,0,0
States,American Samoa,Season 2022-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
States,Puerto Rico,Season 2022-23,624,41,262,19,0,48,0,0,0
States,Virgin Islands,Season 2022-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
States,New York City,Season 2022-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
States,Alabama,Season 2023-24,498,28,9,2,0,13,0,0,0
States,Alaska,Season 2023-24,91,7,0,2,1,0,0,0,0
States,Arizona,Season 2023-24,3530,536,159,11,5,220,0,0,0
States,Arkansas,Season 2023-24,1945,49,193,205,6,36,0,0,0
States,California,Season 2023-24,9869,1818,1056,162,109,339,0,0,0
States,Colorado,Season 2023-24,1636,460,412,19,14,303,0,1,11
States,Connecticut,Season 2023-24,4240,584,438,94,5,190,0,0,0
States,Delaware,Season 2023-24,2393,331,197,72,20,172,0,0,0
States,District of Columbia,Season 2023-24,2205,412,341,44,5,202,0,0,0
States,Florida,Season 2023-24,2577,757,480,22,12,365,0,0,0
States,Georgia,Season 2023-24,3479,673,373,230,24,480,0,0,0
States,Hawaii,Season 2023-24,2901,437,506,22,5,178,0,0,0
States,Idaho,Season 2023-24,819,333,65,10,2,185,0,0,0
States,Illinois,Season 2023-24,4939,190,95,151,41,88,0,0,0
States,Indiana,Season 2023-24,359,51,65,4,1,50,0,0,0
States,Iowa,Season 2023-24,786,223,196,16,5,245,0,0,0
States,Kansas,Season 2023-24,486,11,12,8,3,15,0,0,0
States,Kentucky,Season 2023-24,1154,266,208,0,1,175,0,0,0
States,Louisiana,Season 2023-24,3133,190,21,13,18,146,0,0,0
States,Maine,Season 2023-24,799,520,101,3,1,121,0,0,0
States,Maryland,Season 2023-24,2927,539,626,67,12,509,0,0,0
States,Massachusetts,Season 2023-24,1044,376,228,5,5,1,0,0,0
States,Michigan,Season 2023-24,2032,517,269,8,13,222,0,0,1
States,Minnesota,Season 2023-24,3314,960,450,387,26,531,0,2,0
States,Mississippi,Season 2023-24,253,26,25,7,4,15,0,0,0
States,Missouri,Season 2023-24,930,253,127,26,3,40,0,0,1
States,Montana,Season 2023-24,558,171,140,1,1,148,0,0,0
States,Nebraska,Season 2023-24,609,68,21,23,22,95,0,0,0
States,Nevada,Season 2023-24,10010,324,160,1539,525,137,0,0,0
States,New Hampshire,Season 2023-24,1647,527,144,172,16,41,0,0,0
States,New Jersey,Season 2023-24,780,164,72,15,38,4,0,0,0
States,New Mexico,Season 2023-24,2755,446,162,17,4,260,0,0,0
States,New York,Season 2023-24,12332,710,256,290,45,92,0,0,0
States,North Carolina,Season 2023-24,493,150,32,5,0,30,0,0,0
States,North Dakota,Season 2023-24,681,209,79,12,7,188,0,0,0
States,Ohio,Season 2023-24,1133,532,342,3,4,174,0,0,0
States,Oklahoma,Season 2023-24,261,7,9,2,0,6,0,0,0
States,Oregon,Season 2023-24,6339,245,110,20,2,132,0,0,0
States,Pennsylvania,Season 2023-24,16757,522,191,52,10,164,0,0,0
States,Rhode Island,Season 2023-24,4184,181,47,247,31,80,0,0,0
States,South Carolina,Season 2023-24,917,269,30,23,17,246,0,0,0
States,South Dakota,Season 2023-24,677,135,156,29,12,259,0,0,0
States,Tennessee,Season 2023-24,564,77,74,5,4,65,0,0,0
States,Texas,Season 2023-24,4051,338,167,13,9,296,0,0,0
States,Utah,Season 2023-24,1224,365,153,0,1,220,0,0,0
States,Vermont,Season 2023-24,443,197,116,13,1,43,0,0,0
States,Virginia,Season 2023-24,1332,156,80,7,1,47,0,0,0
States,Washington,Season 2023-24,1974,318,103,50,14,56,0,0,0
States,West Virginia,Season 2023-24,971,330,206,12,13,224,0,0,0
States,Wisconsin,Season 2023-24,3608,476,310,68,11,183,0,0,0
States,Wyoming,Season 2023-24,654,38,8,45,21,23,0,0,0
States,American Samoa,Season 2023-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
States,Puerto Rico,Season 2023-24,434,185,48,4,0,53,0,0,0
States,Virgin Islands,Season 2023-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
States,New York City,Season 2023-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
States,Alabama,Season 2024-25,611,118,178,26,4,0,0,0,0
States,Alaska,Season 2024-25,857,106,185,63,12,13,0,0,0
States,Arizona,Season 2024-25,488,21,48,3,3,4,0,0,2
States,Arkansas,Season 2024-25,2238,374,312,919,2,3,0,0,0
States,California,Season 2024-25,16013,5245,6339,496,113,252,0,0,54
States,Colorado,Season 2024-25,1365,89,135,917,12,7,0,0,0
States,Connecticut,Season 2024-25,2706,812,616,45,131,3,0,0,0
States,Delaware,Season 2024-25,1331,267,408,41,15,1,0,0,1
States,District of Columbia,Season 2024-25,1937,582,771,60,0,25,0,0,0
States,Florida,Season 2024-25,2075,614,817,47,37,1,0,0,0
States,Georgia,Season 2024-25,1537,175,353,406,13,1,0,0,0
States,Hawaii,Season 2024-25,1226,335,64,7,0,26,0,0,0
States,Idaho,Season 2024-25,1256,501,500,119,2,10,0,0,0
States,Illinois,Season 2024-25,2945,552,273,350,5,10,0,0,0
States,Indiana,Season 2024-25,435,181,145,9,0,2,0,0,0
States,Iowa,Season 2024-25,1522,913,452,27,64,0,0,0,1
States,Kansas,Season 2024-25,210,7,5,1,0,0,0,0,0
States,Kentucky,Season 2024-25,1408,428,450,4,0,1,0,0,0
States,Louisiana,Season 2024-25,590,22,94,14,0,1,0,0,2
States,Maine,Season 2024-25,1555,680,613,21,172,0,0,0,0
States,Maryland,Season 2024-25,2237,739,657,4,2,26,0,0,0
States,Massachusetts,Season 2024-25,2466,758,1021,20,101,1,0,0,0
States,Michigan,Season 2024-25,1262,512,439,66,5,5,0,0,0
States,Minnesota,Season 2024-25,4095,1872,389,775,5,67,0,0,1
States,Mississippi,Season 2024-25,669,111,162,36,1,2,0,0,0
States,Missouri,Season 2024-25,1320,401,475,84,8,1,0,0,0
States,Montana,Season 2024-25,405,208,152,4,1,9,0,0,0
States,Nebraska,Season 2024-25,1227,258,413,256,11,0,0,0,0
States,Nevada,Season 2024-25,1387,144,271,67,1,62,0,0,0
States,New Hampshire,Season 2024-25,1690,199,279,549,14,76,0,0,0
States,New Jersey,Season 2024-25,628,219,106,24,7,0,0,0,0
States,New Mexico,Season 2024-25,2318,324,678,24,0,12,0,0,0
States,New York,Season 2024-25,7311,2605,1878,384,31,26,0,0,0
States,North Carolina,Season 2024-25,1655,567,529,44,2,2,0,0,0
States,North Dakota,Season 2024-25,776,357,120,1,6,0,0,0,0
States,Ohio,Season 2024-25,1689,826,685,8,1,0,0,0,2
States,Oklahoma,Season 2024-25,463,45,97,33,1,3,0,0,0
States,Oregon,Season 2024-25,3529,1102,1173,140,45,0,0,0,2
States,Pennsylvania,Season 2024-25,1569,532,542,81,1,25,0,0,0
States,Rhode Island,Season 2024-25,4064,644,791,352,119,3,0,0,0
States,South Carolina,Season 2024-25,733,189,210,9,0,0,0,0,0
States,South Dakota,Season 2024-25,929,395,281,61,11,0,0,0,0
States,Tennessee,Season 2024-25,2687,266,497,1445,0,1,0,0,0
States,Texas,Season 2024-25,2707,562,1063,27,26,1,0,0,0
States,Utah,Season 2024-25,903,141,310,0,0,1,0,0,0
States,Vermont,Season 2024-25,432,257,122,4,0,10,0,0,0
States,Virginia,Season 2024-25,1323,384,298,16,3,4,0,0,0
States,Washington,Season 2024-25,1791,399,428,95,58,3,0,0,14
States,West Virginia,Season 2024-25,618,278,220,20,0,6,0,0,0
States,Wisconsin,Season 2024-25,3065,1406,614,32,5,40,0,0,1
States,Wyoming,Season 2024-25,377,52,38,26,0,0,0,0,0
States,American Samoa,Season 2024-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
States,Puerto Rico,Season 2024-25,125,37,62,1,0,4,0,0,0
States,Virgin Islands,Season 2024-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
States,New York City,Season 2024-25,NA,NA,NA,NA,NA,NA,NA,NA,NA
